protocol,medium,cc,bandwidth,rtt
QUIC,cellular,BBR,100mbps,72.50993
QUIC,cellular,BBR,100mbps,70.64023
QUIC,cellular,BBR,100mbps,75.1373
QUIC,cellular,BBR,100mbps,72.51959
QUIC,cellular,BBR,100mbps,69.1359
QUIC,cellular,BBR,100mbps,67.74011
QUIC,cellular,BBR,100mbps,69.54548
QUIC,cellular,BBR,100mbps,71.77623
QUIC,cellular,BBR,100mbps,68.60595
QUIC,cellular,BBR,100mbps,71.47874
QUIC,cellular,BBR,100mbps,72.915344
QUIC,cellular,BBR,100mbps,69.32986
QUIC,cellular,BBR,100mbps,70.67482
QUIC,cellular,BBR,100mbps,68.01158
QUIC,cellular,BBR,100mbps,65.44213
QUIC,cellular,BBR,100mbps,68.94021
QUIC,cellular,BBR,100mbps,66.19494
QUIC,cellular,BBR,100mbps,64.46406
QUIC,cellular,BBR,100mbps,68.113075
QUIC,cellular,BBR,100mbps,71.90354
QUIC,cellular,BBR,100mbps,68.86721
QUIC,cellular,BBR,100mbps,70.528694
QUIC,cellular,BBR,100mbps,72.73206
QUIC,cellular,BBR,100mbps,68.88411
QUIC,cellular,BBR,100mbps,72.22587
QUIC,cellular,BBR,100mbps,69.90044
QUIC,cellular,BBR,100mbps,74.58127
QUIC,cellular,BBR,100mbps,78.37449
QUIC,cellular,BBR,100mbps,75.949715
QUIC,cellular,BBR,100mbps,74.32112
QUIC,cellular,BBR,100mbps,70.25274
QUIC,cellular,BBR,100mbps,67.22755
QUIC,cellular,BBR,100mbps,68.259346
QUIC,cellular,BBR,100mbps,70.57503
QUIC,cellular,BBR,100mbps,67.40133
QUIC,cellular,BBR,100mbps,64.669395
QUIC,cellular,BBR,100mbps,63.89921
QUIC,cellular,BBR,100mbps,61.74152
QUIC,cellular,BBR,100mbps,64.95845
QUIC,cellular,BBR,100mbps,67.48383
QUIC,cellular,BBR,100mbps,72.424965
QUIC,cellular,BBR,100mbps,68.639084
QUIC,cellular,BBR,100mbps,65.21626
QUIC,cellular,BBR,100mbps,70.15127
QUIC,cellular,BBR,100mbps,71.56945
QUIC,cellular,BBR,100mbps,74.608734
QUIC,cellular,BBR,100mbps,70.14227
QUIC,cellular,BBR,100mbps,66.575325
QUIC,cellular,BBR,100mbps,69.30948
QUIC,cellular,BBR,100mbps,66.06325
QUIC,cellular,BBR,100mbps,63.177624
QUIC,cellular,BBR,100mbps,61.544388
QUIC,cellular,BBR,100mbps,60.12544
QUIC,cellular,BBR,100mbps,63.664227
QUIC,cellular,BBR,100mbps,60.376785
QUIC,cellular,BBR,100mbps,63.659496
QUIC,cellular,BBR,100mbps,63.838898
QUIC,cellular,BBR,100mbps,66.60048
QUIC,cellular,BBR,100mbps,63.645958
QUIC,cellular,BBR,100mbps,64.12578
QUIC,cellular,BBR,100mbps,69.47693
QUIC,cellular,BBR,100mbps,72.613556
QUIC,cellular,BBR,100mbps,69.517426
QUIC,cellular,BBR,100mbps,67.90773
QUIC,cellular,BBR,100mbps,64.57332
QUIC,cellular,BBR,100mbps,61.69759
QUIC,cellular,BBR,100mbps,66.49273
QUIC,cellular,BBR,100mbps,65.00439
QUIC,cellular,BBR,100mbps,67.41008
QUIC,cellular,BBR,100mbps,72.4195
QUIC,cellular,BBR,100mbps,69.70018
QUIC,cellular,BBR,100mbps,74.20704
QUIC,cellular,BBR,100mbps,70.146484
QUIC,cellular,BBR,100mbps,67.53661
QUIC,cellular,BBR,100mbps,64.85445
QUIC,cellular,BBR,100mbps,63.586807
QUIC,cellular,BBR,100mbps,62.343166
QUIC,cellular,BBR,100mbps,60.942226
QUIC,cellular,BBR,100mbps,58.082497
QUIC,cellular,BBR,100mbps,56.744534
QUIC,cellular,BBR,100mbps,60.93713
QUIC,cellular,BBR,100mbps,64.31296
QUIC,cellular,BBR,100mbps,64.249535
